sign_id,sign_name,unicode_value,character,character_image,frequency_count,contexts,variants,transliteration,classification,sources
U+18B6A,Khitan Large Script Character 18B6A,U+18B6A,𘭪,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190955'}]"
U+18B6B,Khitan Large Script Character 18B6B,U+18B6B,𘭫,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190961'}]"
U+18B6C,Khitan Large Script Character 18B6C,U+18B6C,𘭬,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190968'}]"
U+18B6D,Khitan Large Script Character 18B6D,U+18B6D,𘭭,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190974'}]"
U+18B6E,Khitan Large Script Character 18B6E,U+18B6E,𘭮,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190980'}]"
U+18B6F,Khitan Large Script Character 18B6F,U+18B6F,𘭯,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190986'}]"
U+18B70,Khitan Large Script Character 18B70,U+18B70,𘭰,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190996'}]"
U+18B71,Khitan Large Script Character 18B71,U+18B71,𘭱,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.191004'}]"
U+18B72,Khitan Large Script Character 18B72,U+18B72,𘭲,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.191011'}]"
U+18B73,Khitan Large Script Character 18B73,U+18B73,𘭳,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.191017'}]"
U+18B74,Khitan Large Script Character 18B74,U+18B74,𘭴,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.191023'}]"
